,0,1
0,0,2
1,0,4
2,1,2
3,1,3
4,2,5
5,4,5
6,4,6
7,5,7
8,7,8
9,7,9
10,8,9
11,8,10
12,9,19
13,10,13
14,11,13
15,12,110
16,12,13
17,12,16
18,13,15
19,14,15
20,14,111
21,14,112
22,15,16
23,15,17
24,18,111
25,19,112
26,19,21
27,19,22
28,20,21
29,20,23
30,21,22
31,21,23
32,22,112
33,23,25
34,24,25
35,24,27
36,25,26
37,27,28
38,27,29
39,28,30
40,29,31
41,30,32
42,30,33
43,32,33
44,32,34
45,32,35
46,33,36
47,33,50
48,34,35
49,34,51
50,35,52
51,36,41
52,36,45
53,37,38
54,37,39
55,37,40
56,38,113
57,38,39
58,39,40
59,40,41
60,40,42
61,42,43
62,43,44
63,43,46
64,44,45
65,44,48
66,46,47
67,46,55
68,47,55
69,48,114
70,48,55
71,48,63
72,49,114
73,49,50
74,49,57
75,50,51
76,51,58
77,52,59
78,52,70
79,53,54
80,54,55
81,54,60
82,55,56
83,55,61
84,57,58
85,57,114
86,58,59
87,58,62
88,58,74
89,59,75
90,60,61
91,61,64
92,62,69
93,62,73
94,63,64
95,63,66
96,63,69
97,64,116
98,64,65
99,65,66
100,66,115
101,66,67
102,67,116
103,67,68
104,68,69
105,68,91
106,70,76
107,70,78
108,71,78
109,72,116
110,72,73
111,72,79
112,72,83
113,73,74
114,73,86
115,74,75
116,74,85
117,75,76
118,76,77
119,76,84
120,77,78
121,77,88
122,79,80
123,80,117
124,81,117
125,81,82
126,81,91
127,82,117
128,83,118
129,84,85
130,84,87
131,84,88
132,85,86
133,86,96
134,87,88
135,87,90
136,88,99
137,89,97
138,90,97
139,91,118
140,91,94
141,92,93
142,92,108
143,93,94
144,93,106
145,95,100
146,95,106
147,95,109
148,96,118
149,96,97
150,96,100
151,97,101
152,98,101
153,99,102
154,100,105
155,100,109
156,101,102
157,102,103
158,103,104
159,104,119
160,105,119
161,106,107
162,107,108
163,111,112
164,112,113
