,0,1
0,2,0
1,4,0
2,2,1
3,3,1
4,5,2
5,5,4
6,6,4
7,7,5
8,8,7
9,9,7
10,9,8
11,10,8
12,19,9
13,13,10
14,13,11
15,110,12
16,13,12
17,16,12
18,15,13
19,15,14
20,111,14
21,112,14
22,16,15
23,17,15
24,111,18
25,112,19
26,21,19
27,22,19
28,21,20
29,23,20
30,22,21
31,23,21
32,112,22
33,25,23
34,25,24
35,27,24
36,26,25
37,28,27
38,29,27
39,30,28
40,31,29
41,32,30
42,33,30
43,33,32
44,34,32
45,35,32
46,36,33
47,50,33
48,35,34
49,51,34
50,52,35
51,41,36
52,45,36
53,38,37
54,39,37
55,40,37
56,113,38
57,39,38
58,40,39
59,41,40
60,42,40
61,43,42
62,44,43
63,46,43
64,45,44
65,48,44
66,47,46
67,55,46
68,55,47
69,114,48
70,55,48
71,63,48
72,114,49
73,50,49
74,57,49
75,51,50
76,58,51
77,59,52
78,70,52
79,54,53
80,55,54
81,60,54
82,56,55
83,61,55
84,58,57
85,114,57
86,59,58
87,62,58
88,74,58
89,75,59
90,61,60
91,64,61
92,69,62
93,73,62
94,64,63
95,66,63
96,69,63
97,116,64
98,65,64
99,66,65
100,115,66
101,67,66
102,116,67
103,68,67
104,69,68
105,91,68
106,76,70
107,78,70
108,78,71
109,116,72
110,73,72
111,79,72
112,83,72
113,74,73
114,86,73
115,75,74
116,85,74
117,76,75
118,77,76
119,84,76
120,78,77
121,88,77
122,80,79
123,117,80
124,117,81
125,82,81
126,91,81
127,117,82
128,118,83
129,85,84
130,87,84
131,88,84
132,86,85
133,96,86
134,88,87
135,90,87
136,99,88
137,97,89
138,97,90
139,118,91
140,94,91
141,93,92
142,108,92
143,94,93
144,106,93
145,100,95
146,106,95
147,109,95
148,118,96
149,97,96
150,100,96
151,101,97
152,101,98
153,102,99
154,105,100
155,109,100
156,102,101
157,103,102
158,104,103
159,119,104
160,119,105
161,107,106
162,108,107
163,112,111
164,113,112
165,0,2
166,0,4
167,1,2
168,1,3
169,2,5
170,4,5
171,4,6
172,5,7
173,7,8
174,7,9
175,8,9
176,8,10
177,9,19
178,10,13
179,11,13
180,12,110
181,12,13
182,12,16
183,13,15
184,14,15
185,14,111
186,14,112
187,15,16
188,15,17
189,18,111
190,19,112
191,19,21
192,19,22
193,20,21
194,20,23
195,21,22
196,21,23
197,22,112
198,23,25
199,24,25
200,24,27
201,25,26
202,27,28
203,27,29
204,28,30
205,29,31
206,30,32
207,30,33
208,32,33
209,32,34
210,32,35
211,33,36
212,33,50
213,34,35
214,34,51
215,35,52
216,36,41
217,36,45
218,37,38
219,37,39
220,37,40
221,38,113
222,38,39
223,39,40
224,40,41
225,40,42
226,42,43
227,43,44
228,43,46
229,44,45
230,44,48
231,46,47
232,46,55
233,47,55
234,48,114
235,48,55
236,48,63
237,49,114
238,49,50
239,49,57
240,50,51
241,51,58
242,52,59
243,52,70
244,53,54
245,54,55
246,54,60
247,55,56
248,55,61
249,57,58
250,57,114
251,58,59
252,58,62
253,58,74
254,59,75
255,60,61
256,61,64
257,62,69
258,62,73
259,63,64
260,63,66
261,63,69
262,64,116
263,64,65
264,65,66
265,66,115
266,66,67
267,67,116
268,67,68
269,68,69
270,68,91
271,70,76
272,70,78
273,71,78
274,72,116
275,72,73
276,72,79
277,72,83
278,73,74
279,73,86
280,74,75
281,74,85
282,75,76
283,76,77
284,76,84
285,77,78
286,77,88
287,79,80
288,80,117
289,81,117
290,81,82
291,81,91
292,82,117
293,83,118
294,84,85
295,84,87
296,84,88
297,85,86
298,86,96
299,87,88
300,87,90
301,88,99
302,89,97
303,90,97
304,91,118
305,91,94
306,92,93
307,92,108
308,93,94
309,93,106
310,95,100
311,95,106
312,95,109
313,96,118
314,96,97
315,96,100
316,97,101
317,98,101
318,99,102
319,100,105
320,100,109
321,101,102
322,102,103
323,103,104
324,104,119
325,105,119
326,106,107
327,107,108
328,111,112
329,112,113
